Sample   ,PPC-JTAG(5)  ,PPC-JTAG(4)      ,PPC-JTAG(3)     ,PPC-JTAG(0)    ,PPC-JTAG(1)        
        0,0            ,0                ,0               ,1              ,1                  
        1,1            ,0                ,0               ,1              ,1                  
        2,1            ,0                ,0               ,1              ,1                  
        3,0            ,0                ,0               ,1              ,1                  
        4,0            ,0                ,0               ,1              ,1                  
        5,0            ,0                ,1               ,1              ,1                  
        6,0            ,0                ,0               ,1              ,1                  
        7,0            ,1                ,0               ,1              ,1                  
        8,0            ,0                ,0               ,1              ,1                  
        9,0            ,1                ,0               ,1              ,1                  
       10,0            ,0                ,0               ,1              ,1                  
       11,0            ,1                ,0               ,1              ,1                  
       12,1            ,0                ,0               ,1              ,1                  
       13,1            ,0                ,0               ,1              ,1                  
       14,0            ,0                ,0               ,1              ,1                  
       15,1            ,0                ,0               ,1              ,1                  
       16,0            ,0                ,0               ,1              ,1                  
       17,0            ,0                ,0               ,1              ,1                  
       18,0            ,0                ,1               ,1              ,1                  
       19,0            ,0                ,1               ,1              ,1                  
       20,0            ,1                ,0               ,1              ,1                  
       21,0            ,0                ,0               ,1              ,1                  
       22,0            ,1                ,0               ,1              ,1                  
       23,0            ,0                ,0               ,1              ,1                  
       24,0            ,1                ,0               ,1              ,1                  
       25,0            ,0                ,0               ,1              ,1                  
       26,0            ,0                ,0               ,1              ,1                  
       27,0            ,0                ,0               ,1              ,1                  
       28,0            ,0                ,0               ,1              ,1                  
       29,0            ,0                ,0               ,1              ,1                  
       30,0            ,0                ,0               ,1              ,1                  
       31,0            ,0                ,0               ,1              ,1                  
       32,0            ,0                ,0               ,1              ,1                  
       33,0            ,0                ,0               ,1              ,1                  
       34,0            ,0                ,0               ,1              ,1                  
       35,0            ,0                ,0               ,1              ,1                  
       36,0            ,0                ,0               ,1              ,1                  
       37,0            ,0                ,0               ,1              ,1                  
       38,0            ,0                ,0               ,1              ,1                  
       39,0            ,0                ,0               ,1              ,1                  
       40,0            ,0                ,0               ,1              ,1                  
       41,0            ,0                ,0               ,1              ,1                  
       42,0            ,0                ,0               ,1              ,1                  
       43,0            ,0                ,0               ,1              ,1                  
       44,0            ,0                ,0               ,1              ,1                  
       45,0            ,0                ,0               ,1              ,1                  
       46,0            ,0                ,0               ,1              ,1                  
       47,0            ,0                ,0               ,1              ,1                  
       48,0            ,0                ,0               ,1              ,1                  
       49,0            ,0                ,0               ,1              ,1                  
       50,1            ,0                ,0               ,1              ,1                  
       51,1            ,0                ,0               ,1              ,1                  
       52,0            ,0                ,0               ,1              ,1                  
       53,0            ,0                ,0               ,1              ,1                  
       54,1            ,0                ,0               ,1              ,1                  
       55,1            ,0                ,0               ,1              ,1                  
       56,0            ,0                ,0               ,1              ,1                  
       57,0            ,0                ,0               ,1              ,1                  
       58,0            ,0                ,1               ,1              ,1                  
       59,0            ,0                ,0               ,1              ,1                  
       60,0            ,1                ,0               ,1              ,1                  
       61,0            ,0                ,0               ,1              ,1                  
       62,0            ,1                ,0               ,1              ,1                  
       63,0            ,0                ,0               ,1              ,1                  
       64,0            ,1                ,0               ,1              ,1                  
       65,1            ,0                ,0               ,1              ,1                  
       66,1            ,0                ,0               ,1              ,1                  
       67,0            ,0                ,0               ,1              ,1                  
       68,1            ,0                ,0               ,1              ,1                  
       69,0            ,0                ,0               ,1              ,1                  
       70,0            ,0                ,0               ,1              ,1                  
       71,0            ,0                ,1               ,1              ,1                  
       72,0            ,0                ,1               ,1              ,1                  
       73,0            ,1                ,0               ,1              ,1                  
       74,0            ,0                ,0               ,1              ,1                  
       75,0            ,1                ,0               ,1              ,1                  
       76,0            ,0                ,0               ,1              ,1                  
       77,0            ,1                ,0               ,1              ,1                  
       78,0            ,0                ,0               ,1              ,1                  
       79,0            ,0                ,0               ,1              ,1                  
       80,0            ,0                ,0               ,1              ,1                  
       81,0            ,0                ,0               ,1              ,1                  
       82,0            ,0                ,0               ,1              ,1                  
       83,0            ,0                ,0               ,1              ,1                  
       84,0            ,0                ,0               ,1              ,1                  
       85,0            ,0                ,0               ,1              ,1                  
       86,0            ,0                ,0               ,1              ,1                  
       87,0            ,0                ,0               ,1              ,1                  
       88,0            ,0                ,0               ,1              ,1                  
       89,0            ,0                ,0               ,1              ,1                  
       90,0            ,0                ,0               ,1              ,1                  
       91,0            ,0                ,0               ,1              ,1                  
       92,0            ,0                ,0               ,1              ,1                  
       93,0            ,0                ,0               ,1              ,1                  
       94,0            ,0                ,0               ,1              ,1                  
       95,0            ,0                ,0               ,1              ,1                  
       96,0            ,0                ,0               ,1              ,1                  
       97,0            ,0                ,0               ,1              ,1                  
       98,0            ,0                ,0               ,1              ,1                  
       99,0            ,0                ,0               ,1              ,1                  
      100,0            ,0                ,0               ,1              ,1                  
      101,0            ,0                ,0               ,1              ,1                  
      102,0            ,0                ,0               ,1              ,1                  
      103,1            ,0                ,0               ,1              ,1                  
      104,1            ,0                ,0               ,1              ,1                  
      105,0            ,0                ,0               ,1              ,1                  
      106,0            ,0                ,0               ,1              ,1                  
      107,1            ,0                ,0               ,1              ,1                  
      108,1            ,0                ,0               ,1              ,1                  
      109,0            ,0                ,0               ,1              ,1                  
      110,0            ,0                ,0               ,1              ,1                  
      111,0            ,0                ,1               ,1              ,1                  
      112,0            ,0                ,0               ,1              ,1                  
      113,0            ,1                ,0               ,1              ,1                  
      114,0            ,0                ,0               ,1              ,1                  
      115,0            ,1                ,0               ,1              ,1                  
      116,0            ,0                ,0               ,1              ,1                  
      117,0            ,1                ,0               ,1              ,1                  
      118,1            ,0                ,0               ,1              ,1                  
      119,1            ,0                ,0               ,1              ,1                  
      120,0            ,0                ,0               ,1              ,1                  
      121,1            ,0                ,0               ,1              ,1                  
      122,0            ,0                ,0               ,1              ,1                  
      123,0            ,0                ,0               ,1              ,1                  
      124,0            ,0                ,1               ,1              ,1                  
      125,0            ,0                ,1               ,1              ,1                  
      126,0            ,0                ,0               ,1              ,1                  
      127,0            ,0                ,0               ,1              ,1                  
      128,0            ,0                ,0               ,1              ,1                  
      129,0            ,0                ,0               ,1              ,1                  
      130,0            ,0                ,0               ,1              ,1                  
      131,0            ,0                ,0               ,1              ,1                  
      132,0            ,0                ,0               ,1              ,1                  
      133,0            ,0                ,0               ,1              ,1                  
