Sample,TMS,TDI,TDO
0,0,0,0
1,1,0,0
2,1,0,0
3,0,0,0
4,0,0,0
5,0,0,1
6,0,0,0
7,0,1,0
8,0,0,0
9,0,1,0
10,0,1,0
11,0,1,0
12,1,0,0
13,1,0,0
14,0,0,0
15,1,0,0
16,0,0,0
17,0,0,0
18,0,0,1
19,0,1,0
20,0,1,0
21,0,0,0
22,0,0,0
23,0,1,0
24,0,0,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,0,0
29,0,1,0
30,0,1,1
31,0,1,0
32,0,1,0
33,0,1,0
34,0,1,0
35,0,1,0
36,0,0,0
37,0,0,0
38,0,1,0
39,0,1,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,1,0
45,0,1,0
46,0,1,0
47,0,1,0
48,0,1,0
49,1,0,0
50,0,0,0
51,1,0,0
52,0,0,0
53,1,1,0
54,1,1,0
55,0,1,0
56,0,0,0
57,1,0,0
58,1,0,0
59,0,0,0
60,0,0,0
61,0,0,1
62,0,0,0
63,0,1,0
64,0,0,0
65,0,1,0
66,0,1,0
67,0,0,0
68,1,1,0
69,1,1,0
70,0,1,0
71,1,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,1,0
77,0,0,1
78,0,1,0
79,0,1,0
80,0,0,0
81,0,1,1
82,0,0,0
83,0,0,1
84,0,0,1
85,0,0,0
86,0,0,1
87,0,0,1
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,1
92,0,0,0
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,0,1
102,0,0,1
103,0,0,1
104,0,0,1
105,0,0,1
106,1,0,0
107,1,0,0
108,0,0,0
109,0,0,0
110,1,0,0
111,1,0,0
112,0,0,0
113,0,0,0
114,0,0,1
115,0,0,0
116,0,1,0
117,0,0,0
118,0,1,0
119,0,1,0
120,0,0,0
121,1,1,0
122,1,1,0
123,0,1,0
124,1,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,1
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,1
135,0,0,0
136,0,0,1
137,0,0,1
138,0,0,0
139,0,0,1
140,0,0,1
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,1
145,0,0,0
146,0,0,1
147,0,0,1
148,0,0,1
149,0,0,1
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,0,0,1
155,0,0,1
156,0,0,1
157,0,0,1
158,0,0,1
159,1,1,0
160,1,1,0
161,0,1,0
162,0,0,0
163,1,0,0
164,1,0,0
165,0,0,0
166,0,0,0
167,0,0,1
168,0,0,0
169,0,1,0
170,0,0,0
171,0,1,0
172,0,1,0
173,0,1,0
174,1,0,0
175,1,0,0
176,0,0,0
177,1,0,0
178,0,0,0
179,0,0,0
180,0,0,1
181,0,1,0
182,0,1,0
183,0,0,0
184,0,0,0
185,0,1,0
186,0,0,0
187,0,1,0
188,0,0,0
189,0,1,0
190,0,0,0
191,0,1,0
192,0,1,1
193,0,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,0,0
199,0,0,0
200,0,1,0
201,0,1,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,1,0
207,0,1,0
208,0,1,0
209,0,1,0
210,0,1,0
211,0,0,0
212,1,1,0
213,1,1,0
214,0,1,0
215,0,0,0
216,1,0,0
217,1,0,0
218,0,0,0
219,0,0,0
220,0,0,1
221,0,0,0
222,0,1,0
223,0,0,0
224,0,1,0
225,0,1,0
226,0,1,0
227,1,0,0
228,1,0,0
229,0,0,0
230,1,0,0
231,0,0,0
232,0,0,0
233,0,0,1
234,0,0,0
235,0,1,0
236,0,0,0
237,0,0,0
238,0,1,0
239,0,0,0
240,0,0,0
241,0,1,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,1
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,1,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,1,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,1,0
264,0,0,0
265,1,1,0
266,1,1,0
267,0,1,0
268,0,0,0
269,1,0,0
270,1,0,0
271,0,0,0
272,0,0,0
273,0,0,1
274,0,0,0
275,0,1,0
276,0,0,0
277,0,1,0
278,0,1,0
279,0,0,0
280,1,1,0
281,1,1,0
282,0,1,0
283,1,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,1,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,1,0
294,0,0,0
295,0,1,0
296,0,1,0
297,0,0,0
298,0,1,0
299,0,1,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,1,0
304,0,0,0
305,0,1,0
306,0,1,0
307,0,1,0
308,0,1,0
309,0,1,0
310,0,1,0
311,0,1,0
312,0,1,0
313,0,1,0
314,0,1,0
315,0,1,0
316,0,1,0
317,0,1,0
318,1,1,0
319,1,1,0
320,0,1,0
321,0,0,0
322,1,0,0
323,1,0,0
324,0,0,0
325,0,0,0
326,0,0,1
327,0,0,0
328,0,1,0
329,0,0,0
330,0,1,0
331,0,1,0
332,0,1,0
333,1,0,0
334,1,0,0
335,0,0,0
336,1,0,0
337,0,0,0
338,0,0,0
339,0,0,1
340,0,1,0
341,0,1,0
342,0,0,0
343,0,0,0
344,0,1,0
345,0,0,0
346,0,1,0
347,0,0,0
348,0,1,0
349,0,0,0
350,0,1,0
351,0,1,1
352,0,1,0
353,0,1,0
354,0,1,0
355,0,1,0
356,0,1,0
357,0,0,0
358,0,0,0
359,0,1,0
360,0,1,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,1,0
366,0,1,0
367,0,1,0
368,0,1,0
369,0,1,0
370,0,0,0
371,1,1,0
372,1,1,0
373,0,1,0
374,0,0,0
375,1,0,0
376,1,0,0
377,0,0,0
378,0,0,0
379,0,0,1
380,0,0,0
381,0,1,0
382,0,0,0
383,0,1,0
384,0,0,0
385,0,1,0
386,1,0,0
387,1,0,0
388,0,0,0
389,1,0,0
390,0,0,0
391,0,0,0
392,0,0,1
393,0,0,0
394,0,1,0
395,0,0,0
396,0,1,0
397,0,0,0
398,0,1,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,1
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
416,0,0,0
417,0,0,0
418,0,0,0
419,0,0,0
420,0,0,0
421,0,0,0
422,0,0,0
423,0,0,0
424,1,0,0
425,1,0,0
426,0,0,0
427,0,0,0
428,1,0,0
429,1,0,0
430,0,0,0
431,0,0,0
432,0,0,1
433,0,0,0
434,0,1,0
435,0,0,0
436,0,1,0
437,0,0,0
438,0,1,0
439,1,0,0
440,1,0,0
441,0,0,0
442,1,0,0
443,0,0,0
444,0,0,0
445,0,0,1
446,0,0,0
447,0,1,0
448,0,0,0
449,0,1,0
450,0,0,0
451,0,1,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,1
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,1,0,0
478,1,0,0
479,0,0,0
