spl,tms,tdi,tdo
000,0,0,0  
001,1,0,0  
002,1,0,0  
003,0,0,0  
004,0,0,0  
005,0,0,1  
006,0,0,0  
007,0,1,0  
008,0,0,0  
009,0,1,0  
010,0,1,0  
011,0,1,0  
012,1,0,0  
013,1,0,0  
014,0,0,0  
015,1,0,0  
016,0,0,0  
017,0,0,0  
018,0,0,1  
019,0,1,0  
020,0,1,0  
021,0,0,0  
022,0,0,0  
023,0,1,0  
024,0,0,0  
025,0,1,0  
026,0,1,0  
027,0,1,0  
028,0,0,0  
029,0,1,0  
030,0,1,1  
031,0,1,0  
032,0,1,0  
033,0,1,0  
034,0,1,0  
035,0,1,0  
036,0,0,0  
037,0,0,0  
038,0,1,0  
039,0,1,0  
040,0,0,0  
041,0,0,0  
042,0,0,0  
043,0,0,0  
044,0,1,0  
045,0,1,0  
046,0,1,0  
047,0,1,0  
048,0,1,0  
049,1,0,0  
050,0,0,0  
051,1,0,0  
052,0,0,0  
053,1,1,0  
054,1,1,0  
055,0,1,0  
056,0,0,0  
057,1,0,0  
058,1,0,0  
059,0,0,0  
060,0,0,0  
061,0,0,1  
062,0,0,0  
063,0,1,0  
064,0,0,0  
065,0,1,0  
066,0,1,0  
067,0,0,0  
068,1,1,0  
069,1,1,0  
070,0,1,0  
071,1,0,0  
072,0,0,0  
073,0,0,0  
074,0,0,0  
075,0,0,0  
076,0,1,0  
077,0,0,1  
078,0,1,0  
079,0,1,0  
080,0,0,0  
081,0,1,1  
082,0,0,0  
083,0,0,1  
084,0,0,1  
085,0,0,0  
086,0,0,1  
087,0,0,1  
088,0,0,0  
089,0,0,0  
090,0,0,0  
091,0,0,1  
092,0,0,0  
093,0,0,1  
094,0,0,1  
095,0,0,1  
096,0,0,1  
097,0,0,1  
098,0,0,1  
099,0,0,1  
100,0,0,1  
101,0,0,1  
102,0,0,1  
103,0,0,1  
104,0,0,1  
105,0,0,1  
106,1,0,0  
107,1,0,0  
108,0,0,0  
109,0,0,0  
110,1,0,0  
111,1,0,0  
112,0,0,0  
113,0,0,0  
114,0,0,1  
115,0,0,0  
116,0,1,0  
117,0,0,0  
118,0,1,0  
119,0,1,0  
120,0,0,0  
121,1,1,0  
122,1,1,0  
123,0,1,0  
124,1,0,0  
125,0,0,0  
126,0,0,0  
127,0,0,0  
128,0,0,0  
129,0,0,0  
130,0,0,1  
131,0,0,0  
132,0,0,0  
133,0,0,0  
134,0,0,1  
135,0,0,0  
136,0,0,1  
137,0,0,1  
138,0,0,0  
139,0,0,1  
140,0,0,1  
141,0,0,0  
142,0,0,0  
143,0,0,0  
144,0,0,1  
145,0,0,0  
146,0,0,1  
147,0,0,1  
148,0,0,1  
149,0,0,1  
150,0,0,1  
151,0,0,1  
152,0,0,1  
153,0,0,1  
154,0,0,1  
155,0,0,1  
156,0,0,1  
157,0,0,1  
158,0,0,1  
159,1,1,0  
160,1,1,0  
161,0,1,0  
162,0,0,0  
163,1,0,0  
164,1,0,0  
165,0,0,0  
166,0,0,0  
167,0,0,1  
168,0,0,0  
169,0,1,0  
170,0,0,0  
171,0,1,0  
172,0,1,0  
173,0,1,0  
174,1,0,0  
175,1,0,0  
176,0,0,0  
177,1,0,0  
178,0,0,0  
179,0,0,0  
180,0,0,1  
181,0,1,0  
182,0,1,0  
183,0,0,0  
184,0,0,0  
185,0,1,0  
186,0,0,0  
187,0,1,0  
188,0,0,0  
189,0,1,0  
190,0,0,0  
191,0,1,0  
192,0,1,1  
193,0,1,0  
194,0,1,0  
195,0,1,0  
196,0,1,0  
197,0,1,0  
198,0,0,0  
199,0,0,0  
200,0,1,0  
201,0,1,0  
202,0,0,0  
203,0,0,0  
204,0,0,0  
205,0,0,0  
206,0,1,0  
207,0,1,0  
208,0,1,0  
209,0,1,0  
210,0,1,0  
211,0,0,0  
212,1,1,0  
213,1,1,0  
214,0,1,0  
215,0,0,0  
216,1,0,0  
217,1,0,0  
218,0,0,0  
219,0,0,0  
220,0,0,1  
221,0,0,0  
222,0,1,0  
223,0,0,0  
224,0,1,0  
225,0,1,0  
226,0,1,0  
227,1,0,0  
228,1,0,0  
229,0,0,0  
230,1,0,0  
231,0,0,0  
232,0,0,0  
233,0,0,1  
234,0,0,0  
235,0,1,0  
236,0,0,0  
237,0,0,0  
238,0,1,0  
239,0,0,0  
240,0,0,0  
241,0,1,0  
242,0,0,0  
243,0,0,0  
244,0,0,0  
245,0,0,1  
246,0,0,0  
247,0,0,0  
248,0,0,0  
249,0,0,0  
250,0,0,0  
251,0,0,0  
252,0,0,0  
253,0,0,0  
254,0,1,0  
255,0,0,0  
256,0,0,0  
257,0,0,0  
258,0,0,0  
